,0,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,searchQueryource,tweetCreated,tweetCoordinates,tweetentities,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone
98,Vamos a escuchar a las personas de trabajo zacatecanas. Ellas nos ayudarán a diseñar estrategias innovadoras para t… https://t.co/0MtS7H6NlX,948192406368743425,Vamos a escuchar a las personas de trabajo zacatecanas. Ellas nos ayudarán a diseñar estrategias innovadoras para t… https://t.co/0MtS7H6NlX,918,1893,Twitter for Android,2018-01-02 14:01:00,,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/0MtS7H6NlX', u'indices': [117, 140], u'expanded_url': u'https://twitter.com/i/web/status/948192406368743425', u'display_url': u'twitter.com/i/web/status/9…'}]}",237372254,JoseAMeadeK,José Antonio Meade,2011-01-12 18:01:45,Precandidato a la Presidencia de México. Licenciado en Economía por el ITAM y en Derecho por la UNAM. #LoMejorEstáPorVenir,1041469,1808,México,Mexico City
99,Felices de arrancar el 2018 en Zacatecas. Nos espera un día con la bella gente de uno de los estados con más riquez… https://t.co/DY1mxDrPYT,948186265475719170,Felices de arrancar el 2018 en Zacatecas. Nos espera un día con la bella gente de uno de los estados con más riquez… https://t.co/DY1mxDrPYT,1162,2565,Twitter for Android,2018-01-02 13:36:36,,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/DY1mxDrPYT', u'indices': [117, 140], u'expanded_url': u'https://twitter.com/i/web/status/948186265475719170', u'display_url': u'twitter.com/i/web/status/9…'}]}",237372254,JoseAMeadeK,José Antonio Meade,2011-01-12 18:01:45,Precandidato a la Presidencia de México. Licenciado en Economía por el ITAM y en Derecho por la UNAM. #LoMejorEstáPorVenir,1041469,1808,México,Mexico City
100,EN DIRECTO en #Periscope Feliz Año! Desde el Acueducto del Padre Tembleque. https://t.co/E03bqN6DYu,947962240883335168,EN DIRECTO en #Periscope Feliz Año! Desde el Acueducto del Padre Tembleque. https://t.co/E03bqN6DYu,753,1746,Periscope,2018-01-01 22:46:25,,"{u'symbols': [], u'user_mentions': [], u'hashtags': [{u'indices': [14, 24], u'text': u'Periscope'}], u'urls': [{u'url': u'https://t.co/E03bqN6DYu', u'indices': [76, 99], u'expanded_url': u'https://www.pscp.tv/w/bRlgJjExODEzNTh8MUx5R0JSTEVBZ3JHTkh8BAHh73pq-vFgIXllVEhARyXfs1bsdnSBeiSKj6aT', u'display_url': u'pscp.tv/w/bRlgJjExODEz…'}]}",237372254,JoseAMeadeK,José Antonio Meade,2011-01-12 18:01:45,Precandidato a la Presidencia de México. Licenciado en Economía por el ITAM y en Derecho por la UNAM. #LoMejorEstáPorVenir,1041469,1808,México,Mexico City
101,"Les deseo un #2018 lleno de bendiciones, en el que juntos, con trabajo, respondamos a las dificultades. Que sea un… https://t.co/DjV44rzGG2",947644049174888449,"Les deseo un #2018 lleno de bendiciones, en el que juntos, con trabajo, respondamos a las dificultades. Que sea un… https://t.co/DjV44rzGG2",2846,6409,Twitter for iPhone,2018-01-01 01:42:02,,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/DjV44rzGG2', u'indices': [116, 139], u'expanded_url': u'https://twitter.com/i/web/status/947644049174888449', u'display_url': u'twitter.com/i/web/status/9…'}]}",237372254,JoseAMeadeK,José Antonio Meade,2011-01-12 18:01:45,Precandidato a la Presidencia de México. Licenciado en Economía por el ITAM y en Derecho por la UNAM. #LoMejorEstáPorVenir,1041469,1808,México,Mexico City
102,@ChapoRomo Muchas gracias!  En esta última vuelta no hubo chance. Pero en la siguiente sin duda nos coordinamos. Te… https://t.co/dYQ1HzAQ4i,947636780181856256,@ChapoRomo Muchas gracias!  En esta última vuelta no hubo chance. Pero en la siguiente sin duda nos coordinamos. Te… https://t.co/dYQ1HzAQ4i,13,33,Twitter for iPhone,2018-01-01 01:13:09,,"{u'symbols': [], u'user_mentions': [{u'id': 574624393, u'indices': [0, 10], u'id_str': u'574624393', u'screen_name': u'ChapoRomo', u'name': u'Oscar Romo Salazar'}], u'hashtags': [], u'urls': [{u'url': u'https://t.co/dYQ1HzAQ4i', u'indices': [117, 140], u'expanded_url': u'https://twitter.com/i/web/status/947636780181856256', u'display_url': u'twitter.com/i/web/status/9…'}]}",237372254,JoseAMeadeK,José Antonio Meade,2011-01-12 18:01:45,Precandidato a la Presidencia de México. Licenciado en Economía por el ITAM y en Derecho por la UNAM. #LoMejorEstáPorVenir,1041469,1808,México,Mexico City
103,Saludos desde Epazoyucan. ¡Muy feliz año! https://t.co/m5PGixbpeR,947580519214088193,Saludos desde Epazoyucan. ¡Muy feliz año! https://t.co/m5PGixbpeR,964,2429,Twitter for Android,2017-12-31 21:29:35,,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/m5PGixbpeR', u'indices': [42, 65], u'expanded_url': u'https://www.pscp.tv/w/bRf7lTExODEzNTh8MWxEeExBb2JMRUxLbZadEgn1EMMTvNWmEzVMCkit4yMat2wWk5Ow7SPe2TOo', u'display_url': u'pscp.tv/w/bRf7lTExODEz…'}]}",237372254,JoseAMeadeK,José Antonio Meade,2011-01-12 18:01:45,Precandidato a la Presidencia de México. Licenciado en Economía por el ITAM y en Derecho por la UNAM. #LoMejorEstáPorVenir,1041469,1808,México,Mexico City
104,RT @JuanaCuevasR: Acompañé a @JoseAMeadeK a  #Tlaxcala. Experiencia  y conocimiento para todos los mexicanos. #PepeMeadeenTlaxcala https://…,946937033582399488,RT @JuanaCuevasR: Acompañé a @JoseAMeadeK a  #Tlaxcala. Experiencia  y conocimiento para todos los mexicanos. #PepeMeadeenTlaxcala https://…,631,0,Twitter Web Client,2017-12-30 02:52:36,,"{u'symbols': [], u'user_mentions': [{u'id': 179282309, u'indices': [3, 16], u'id_str': u'179282309', u'screen_name': u'JuanaCuevasR', u'name': u'Juana Cuevas'}, {u'id': 237372254, u'indices': [29, 41], u'id_str': u'237372254', u'screen_name': u'JoseAMeadeK', u'name': u'José Antonio Meade'}], u'hashtags': [{u'indices': [45, 54], u'text': u'Tlaxcala'}, {u'indices': [110, 130], u'text': u'PepeMeadeenTlaxcala'}], u'urls': []}",237372254,JoseAMeadeK,José Antonio Meade,2011-01-12 18:01:45,Precandidato a la Presidencia de México. Licenciado en Economía por el ITAM y en Derecho por la UNAM. #LoMejorEstáPorVenir,1041469,1808,México,Mexico City
105,Tlaxcala en 2018 seguirá siendo ejemplo de avance. La fuerza y capacidad de su gente son la clave para el inicio de… https://t.co/tVDgvtUP4q,946817178766016512,Tlaxcala en 2018 seguirá siendo ejemplo de avance. La fuerza y capacidad de su gente son la clave para el inicio de… https://t.co/tVDgvtUP4q,557,1058,Twitter Web Client,2017-12-29 18:56:21,,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/tVDgvtUP4q', u'indices': [117, 140], u'expanded_url': u'https://twitter.com/i/web/status/946817178766016512', u'display_url': u'twitter.com/i/web/status/9…'}]}",237372254,JoseAMeadeK,José Antonio Meade,2011-01-12 18:01:45,Precandidato a la Presidencia de México. Licenciado en Economía por el ITAM y en Derecho por la UNAM. #LoMejorEstáPorVenir,1041469,1808,México,Mexico City
106,No hay excusa. Quien lastime a una tlaxcalteca tiene que ser castigado. El bienestar de todas debe de garantizarse… https://t.co/meDM3tNjXm,946817177277075456,No hay excusa. Quien lastime a una tlaxcalteca tiene que ser castigado. El bienestar de todas debe de garantizarse… https://t.co/meDM3tNjXm,363,735,Twitter Web Client,2017-12-29 18:56:20,,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/meDM3tNjXm', u'indices': [116, 139], u'expanded_url': u'https://twitter.com/i/web/status/946817177277075456', u'display_url': u'twitter.com/i/web/status/9…'}]}",237372254,JoseAMeadeK,José Antonio Meade,2011-01-12 18:01:45,Precandidato a la Presidencia de México. Licenciado en Economía por el ITAM y en Derecho por la UNAM. #LoMejorEstáPorVenir,1041469,1808,México,Mexico City
107,Experiencia y conocimiento es lo que ofrezco de cara al 2018. La gente de Tlaxcala me demostró una vez más que la u… https://t.co/JDA04VQpTP,946817174684958720,Experiencia y conocimiento es lo que ofrezco de cara al 2018. La gente de Tlaxcala me demostró una vez más que la u… https://t.co/JDA04VQpTP,837,1783,Twitter Web Client,2017-12-29 18:56:20,,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/JDA04VQpTP', u'indices': [117, 140], u'expanded_url': u'https://twitter.com/i/web/status/946817174684958720', u'display_url': u'twitter.com/i/web/status/9…'}]}",237372254,JoseAMeadeK,José Antonio Meade,2011-01-12 18:01:45,Precandidato a la Presidencia de México. Licenciado en Economía por el ITAM y en Derecho por la UNAM. #LoMejorEstáPorVenir,1041469,1808,México,Mexico City
